tr_build_id,gh_project_name,gh_is_pr,gh_pr_created_at,gh_pull_req_num,gh_lang,git_merged_with,git_branch,gh_num_commits_in_push,gh_commits_in_push,git_prev_commit_resolution_status,git_prev_built_commit,tr_prev_build,gh_first_commit_created_at,gh_team_size,git_all_built_commits,git_num_all_built_commits,git_trigger_commit,tr_virtual_merged_into,tr_original_commit,gh_num_issue_comments,gh_num_commit_comments,gh_num_pr_comments,git_diff_src_churn,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,gh_diff_tests_added,gh_diff_tests_deleted,gh_diff_src_files,gh_diff_doc_files,gh_diff_other_files,gh_num_commits_on_files_touched,gh_sloc,gh_test_lines_per_kloc,gh_test_cases_per_kloc,gh_asserts_cases_per_kloc,gh_by_core_team_member,gh_description_complexity,gh_pushed_at,gh_build_started_at,tr_status,tr_duration,tr_jobs,tr_build_number,tr_job_id,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,build_successful
51309639,loomio/loomio,False,,,ruby,,master,,,merge_found,,,,16,f647d948acee96e7c90bf82eddb76a84d5fce15e#4d778acae453c24d835e57721cc0f01bb76cee9c,2,f647d948acee96e7c90bf82eddb76a84d5fce15e,,f647d948acee96e7c90bf82eddb76a84d5fce15e,,0,,1797,0,55,54,3,0,0,6,3,104,1357,18169,348.34058010897695,26.308547526005803,50.1953877483626,True,,,2015-02-18 23:54:41,passed,992.0,[51309640],4918,51309640,ruby,ok,12.0,ruby,rspec#cucumber,True,False,1067.0,0.0,1067.0,11.0,,552.7,,True
51315918,loomio/loomio,True,2015-02-15 05:19:12,1910.0,ruby,commits_in_master,master,2.0,7a088f3a150381b03c168a50b0bcc038eed3a5da#2456d1fd599a78e0f7e41f6897b50bd52df8ae74,build_found,f647d948acee96e7c90bf82eddb76a84d5fce15e,51309639.0,2015-02-15 06:18:48,16,7a088f3a150381b03c168a50b0bcc038eed3a5da,1,7a088f3a150381b03c168a50b0bcc038eed3a5da,f647d948acee96e7c90bf82eddb76a84d5fce15e,79104d72d7ecf2fb84bd86240dfddb78f5b898dd,2.0,0,0.0,18,28,0,0,14,0,0,14,0,0,642,18169,348.34058010897695,26.308547526005803,50.1953877483626,True,6.0,2015-02-19 01:55:02,2015-02-19 01:09:50,passed,797.0,[51315919],4921,51315919,ruby,ok,7.0,ruby,rspec#cucumber,True,False,1067.0,0.0,1067.0,11.0,,401.05,,True
51319197,loomio/loomio,False,,,ruby,,master,2.0,7a088f3a150381b03c168a50b0bcc038eed3a5da#2456d1fd599a78e0f7e41f6897b50bd52df8ae74,merge_found,,,2015-02-15 06:18:48,16,2456d1fd599a78e0f7e41f6897b50bd52df8ae74,1,2456d1fd599a78e0f7e41f6897b50bd52df8ae74,,2456d1fd599a78e0f7e41f6897b50bd52df8ae74,,0,,18,28,0,0,14,0,0,14,0,0,643,18169,348.34058010897695,26.308547526005803,50.1953877483626,True,,2015-02-19 01:55:02,2015-02-19 01:56:02,passed,903.0,[51319198],4922,51319198,ruby,ok,11.0,ruby,rspec#cucumber,True,False,1067.0,0.0,1067.0,11.0,,474.86,,True
51322002,loomio/loomio,True,2015-02-18 22:40:11,1925.0,ruby,commits_in_master,master,2.0,949ebd044c0d84567d715767def40f4bf3ec77d0#2c65eaa60eee8b5a8c3254277828d1ae7742b89a,build_found,f647d948acee96e7c90bf82eddb76a84d5fce15e,51309639.0,2015-02-18 23:39:48,16,949ebd044c0d84567d715767def40f4bf3ec77d0,1,949ebd044c0d84567d715767def40f4bf3ec77d0,2456d1fd599a78e0f7e41f6897b50bd52df8ae74,6d1bbdd172f6d1b82ad75dbb58f90b5dbaca20b2,0.0,0,0.0,0,0,0,0,0,0,0,0,10,0,0,18169,348.34058010897695,26.308547526005803,50.1953877483626,True,11.0,2015-02-19 03:48:25,2015-02-19 02:44:14,passed,807.0,[51322003],4923,51322003,ruby,ok,9.0,ruby,rspec#cucumber,True,False,1067.0,0.0,1067.0,11.0,,416.23,,True
51325972,loomio/loomio,False,,,ruby,,master,2.0,949ebd044c0d84567d715767def40f4bf3ec77d0#2c65eaa60eee8b5a8c3254277828d1ae7742b89a,merge_found,,,2015-02-18 23:39:48,16,2c65eaa60eee8b5a8c3254277828d1ae7742b89a,1,2c65eaa60eee8b5a8c3254277828d1ae7742b89a,,2c65eaa60eee8b5a8c3254277828d1ae7742b89a,,0,,0,0,0,0,0,0,0,0,10,0,1,18169,348.34058010897695,26.308547526005803,50.1953877483626,True,,2015-02-19 03:48:25,2015-02-19 03:49:08,passed,749.0,[51325973],4926,51325973,ruby,ok,9.0,ruby,rspec#cucumber,True,False,1067.0,0.0,1067.0,11.0,,379.49,,True
51326432,loomio/loomio,True,2015-02-10 02:28:59,1888.0,ruby,commits_in_master,master,2.0,c516725f0a2e17d5998597bf489e9f5bd5f42a91#7b8b0f7f3264a1f8929a49574205b70b9ca80394,build_found,2c65eaa60eee8b5a8c3254277828d1ae7742b89a,51325972.0,2015-02-10 03:19:27,16,c516725f0a2e17d5998597bf489e9f5bd5f42a91,1,c516725f0a2e17d5998597bf489e9f5bd5f42a91,2c65eaa60eee8b5a8c3254277828d1ae7742b89a,2b1e413821bd1dac66f96e74573f1b6a13b950e0,0.0,0,0.0,112,0,0,0,3,0,0,2,1,0,36,18185,348.034094033544,26.285400054990397,50.15122353588121,True,32.0,2015-02-19 04:17:05,2015-02-19 03:58:26,passed,924.0,[51326433],4928,51326433,ruby,ok,9.0,ruby,rspec#cucumber,True,False,1067.0,0.0,1067.0,11.0,,494.02,,True
51326470,loomio/loomio,True,2015-02-19 02:58:39,1929.0,ruby,commits_in_master,master,2.0,43dc318f67d9bbb99aefcb84eaa61f01b45e2666#43020532ca9c534146abddfdb7b6f3577a1dec36,build_found,f647d948acee96e7c90bf82eddb76a84d5fce15e,51309639.0,2015-02-19 03:50:27,16,43dc318f67d9bbb99aefcb84eaa61f01b45e2666,1,43dc318f67d9bbb99aefcb84eaa61f01b45e2666,2c65eaa60eee8b5a8c3254277828d1ae7742b89a,c82f6eb68c6e29fc9cce9daab413e5023ac20039,1.0,0,0.0,13,0,0,0,3,0,0,2,1,0,186,18175,348.22558459422305,26.299862448418196,50.178817056396106,True,9.0,2015-02-19 04:20:24,2015-02-19 03:59:14,passed,783.0,[51326471],4929,51326471,ruby,ok,9.0,ruby,rspec#cucumber,True,False,1068.0,0.0,1068.0,11.0,,393.01,,True
51327081,loomio/loomio,True,2015-02-06 20:09:58,1873.0,ruby,commits_in_master,master,1.0,3c301dcf912e2d6219661655fa44d7ad42f0ccb7,build_found,2c65eaa60eee8b5a8c3254277828d1ae7742b89a,51325972.0,2015-02-05 08:14:48,16,3c301dcf912e2d6219661655fa44d7ad42f0ccb7,1,3c301dcf912e2d6219661655fa44d7ad42f0ccb7,2c65eaa60eee8b5a8c3254277828d1ae7742b89a,fd0a122790725b01be853bbbdf3acadef2704a68,0.0,0,0.0,670,441,14,14,23,0,0,44,7,0,1256,18176,354.423415492958,27.4537852112676,51.386443661971796,True,26.0,2015-02-19 04:10:20,2015-02-19 04:11:11,passed,816.0,[51327082],4930,51327082,ruby,ok,12.0,ruby,rspec#cucumber,True,False,1085.0,0.0,1085.0,11.0,,404.09,,True
51327508,loomio/loomio,False,,,ruby,,master,2.0,c516725f0a2e17d5998597bf489e9f5bd5f42a91#7b8b0f7f3264a1f8929a49574205b70b9ca80394,merge_found,,,2015-02-10 03:19:27,16,7b8b0f7f3264a1f8929a49574205b70b9ca80394,1,7b8b0f7f3264a1f8929a49574205b70b9ca80394,,7b8b0f7f3264a1f8929a49574205b70b9ca80394,,0,,112,0,0,0,3,0,0,2,1,0,37,18185,348.034094033544,26.285400054990397,50.15122353588121,True,,2015-02-19 04:17:05,2015-02-19 04:17:53,passed,989.0,[51327511],4932,51327511,ruby,ok,9.0,ruby,rspec#cucumber,True,False,1067.0,0.0,1067.0,11.0,,423.67,,True
51327721,loomio/loomio,False,,,ruby,,master,2.0,43dc318f67d9bbb99aefcb84eaa61f01b45e2666#43020532ca9c534146abddfdb7b6f3577a1dec36,merge_found,,,2015-02-19 03:50:27,16,43020532ca9c534146abddfdb7b6f3577a1dec36,1,43020532ca9c534146abddfdb7b6f3577a1dec36,,43020532ca9c534146abddfdb7b6f3577a1dec36,,0,,13,0,0,0,3,0,0,2,1,0,187,18191,347.91930075312007,26.276730251223103,50.1346819855973,True,,2015-02-19 04:20:24,2015-02-19 04:22:26,passed,803.0,[51327722],4933,51327722,ruby,ok,11.0,ruby,rspec#cucumber,True,False,1068.0,0.0,1068.0,11.0,,405.3,,True
51328718,loomio/loomio,True,2015-02-19 03:16:18,1930.0,ruby,commits_in_master,master,1.0,31339f3d9fb56d22b90b429aef2f568459950782,merge_found,,,2015-02-19 03:48:23,16,31339f3d9fb56d22b90b429aef2f568459950782,1,31339f3d9fb56d22b90b429aef2f568459950782,43020532ca9c534146abddfdb7b6f3577a1dec36,d6a3d20d151abe10f1de8cc5e894058716cc1eab,0.0,0,0.0,0,0,0,0,1,0,0,0,11,0,16,18169,348.34058010897695,26.308547526005803,50.1953877483626,True,26.0,2015-02-19 04:38:27,2015-02-19 04:39:05,passed,873.0,[51328719],4934,51328719,ruby,ok,7.0,ruby,rspec#cucumber,True,False,1068.0,0.0,1068.0,11.0,,482.44,,True
51329372,loomio/loomio,True,2015-02-19 03:47:59,1931.0,ruby,commits_in_master,master,4.0,dd8a99729eb83dca35cddb2aff4e5f1d13da1798#99e3b7743d8fec50ce5bb42b3cdc5554464776f2#6ba81e5c3e69d1f340899e7d740564112b075514#957955743d9ede1c49048759a5570843d4d8509a,build_found,2c65eaa60eee8b5a8c3254277828d1ae7742b89a,51325972.0,2015-01-31 23:06:01,16,dd8a99729eb83dca35cddb2aff4e5f1d13da1798,1,dd8a99729eb83dca35cddb2aff4e5f1d13da1798,43020532ca9c534146abddfdb7b6f3577a1dec36,137654bc3de65f8cb062a3ebc8ea6f3121919cfc,0.0,0,0.0,128,13,0,0,9,0,0,9,0,0,1347,18171,348.632436299598,26.360684607341398,50.2448957129492,True,7.0,2015-02-20 01:57:28,2015-02-19 04:48:41,errored,17.0,[51329373],4935,51329373,ruby,unknown,9.0,ruby,,False,,,,,,,,,False
51355403,loomio/loomio,True,2015-02-19 09:43:47,1932.0,ruby,commits_in_master,master,2.0,17c5bae26b031149d0295973d03d03549605f9a3#3b1d8cfc02164cb580b0cf25100c12ca19b39698,build_found,2c65eaa60eee8b5a8c3254277828d1ae7742b89a,51325972.0,2015-02-19 10:41:17,16,17c5bae26b031149d0295973d03d03549605f9a3,1,17c5bae26b031149d0295973d03d03549605f9a3,43020532ca9c534146abddfdb7b6f3577a1dec36,0c9e9ec76efd8985465cf0a508716a6c387035a0,0.0,0,0.0,95,0,0,0,7,0,0,7,0,0,108,18184,348.053233611967,26.286845578530603,50.15398152221729,True,24.0,2015-02-23 22:40:47,2015-02-19 10:44:28,passed,870.0,[51355404],4942,51355404,ruby,ok,8.0,ruby,rspec#cucumber,True,False,1068.0,0.0,1068.0,11.0,,471.42,,True
51415172,loomio/loomio,True,2015-02-19 17:56:10,1933.0,ruby,commits_in_master,master,2.0,0709229bcd5d62109935931eea48ca5b86c91002#4a3b688a7ff22a9c5668fc6dcde2b283abb6e96c,build_found,2456d1fd599a78e0f7e41f6897b50bd52df8ae74,51319197.0,2015-02-19 18:53:36,16,0709229bcd5d62109935931eea48ca5b86c91002,1,0709229bcd5d62109935931eea48ca5b86c91002,43020532ca9c534146abddfdb7b6f3577a1dec36,22cd41d58ef1d5113a9476ce1717163ee81106a7,3.0,0,0.0,10,0,0,0,1,0,0,1,0,0,555,18171,348.30223983269997,26.3056518628584,50.18986296846621,True,126.0,2015-02-25 01:22:25,2015-02-19 18:58:40,passed,1282.0,[51415173],4943,51415173,ruby,ok,10.0,ruby,rspec#cucumber,True,False,1068.0,0.0,1068.0,11.0,,513.54,,True
51427909,loomio/loomio,False,,,ruby,,master,2.0,31339f3d9fb56d22b90b429aef2f568459950782#525be0ffb26d0d20d4d5f3efe95ff657b3a99f00,merge_found,,,2015-02-19 03:48:23,16,525be0ffb26d0d20d4d5f3efe95ff657b3a99f00,1,525be0ffb26d0d20d4d5f3efe95ff657b3a99f00,,525be0ffb26d0d20d4d5f3efe95ff657b3a99f00,,0,,0,0,0,0,1,0,0,0,1,0,16,18191,347.91930075312007,26.276730251223103,50.1346819855973,True,,2015-02-19 20:42:13,2015-02-19 20:43:00,passed,1017.0,[51427910],4945,51427910,ruby,ok,9.0,ruby,rspec#cucumber,True,False,1068.0,0.0,1068.0,11.0,,469.64,,True
51452330,loomio/loomio,True,2015-02-19 23:04:40,1934.0,ruby,commits_in_master,master,2.0,72f9800a3dbe7dce33c1072324fdbf9e1b740c09#71ec0abac412b7ef8b63c501d2883cff38788859,build_found,f647d948acee96e7c90bf82eddb76a84d5fce15e,51309639.0,2015-02-11 09:38:44,16,72f9800a3dbe7dce33c1072324fdbf9e1b740c09,1,72f9800a3dbe7dce33c1072324fdbf9e1b740c09,525be0ffb26d0d20d4d5f3efe95ff657b3a99f00,bcb070e6e18fdde283170bab5644bd22c56f20ae,1.0,0,0.0,2,18,0,0,3,0,0,2,1,0,566,18169,348.34058010897695,26.308547526005803,50.1953877483626,False,6.0,2015-03-01 02:10:26,2015-02-20 00:05:55,passed,937.0,[51452331],4946,51452331,ruby,ok,9.0,ruby,rspec#cucumber,True,False,1068.0,0.0,1068.0,11.0,,499.53,,True
51453799,loomio/loomio,True,2015-02-19 03:47:59,1931.0,ruby,commits_in_master,master,1.0,99e3b7743d8fec50ce5bb42b3cdc5554464776f2,build_found,dd8a99729eb83dca35cddb2aff4e5f1d13da1798,51329372.0,2015-02-19 04:52:35,16,99e3b7743d8fec50ce5bb42b3cdc5554464776f2,1,99e3b7743d8fec50ce5bb42b3cdc5554464776f2,525be0ffb26d0d20d4d5f3efe95ff657b3a99f00,9c8d977d63ebb2bfe22dd7e167e5d753391e6532,4.0,0,0.0,65,2,0,0,5,0,0,5,0,0,893,18171,348.632436299598,26.360684607341398,50.2448957129492,True,7.0,2015-02-20 00:18:09,2015-02-20 00:18:55,passed,1153.0,[51453800],4947,51453800,ruby,ok,9.0,ruby,rspec#cucumber,True,False,1069.0,0.0,1069.0,11.0,,581.71,,True
51459414,loomio/loomio,True,2015-02-19 03:47:59,1931.0,ruby,commits_in_master,master,7.0,43dc318f67d9bbb99aefcb84eaa61f01b45e2666#c516725f0a2e17d5998597bf489e9f5bd5f42a91#7b8b0f7f3264a1f8929a49574205b70b9ca80394#43020532ca9c534146abddfdb7b6f3577a1dec36#31339f3d9fb56d22b90b429aef2f568459950782#525be0ffb26d0d20d4d5f3efe95ff657b3a99f00#6ba81e5c3e69d1f340899e7d740564112b075514,merge_found,,,2015-02-10 03:19:27,16,6ba81e5c3e69d1f340899e7d740564112b075514,1,6ba81e5c3e69d1f340899e7d740564112b075514,525be0ffb26d0d20d4d5f3efe95ff657b3a99f00,e38e10a0e18641629c19a84387fa740725089cb6,4.0,0,0.0,125,0,0,0,7,0,0,4,3,0,238,18193,348.210850327049,26.3288077832133,50.184136755895096,True,7.0,2015-02-20 01:30:53,2015-02-20 01:31:37,passed,1255.0,[51459415],4948,51459415,ruby,ok,10.0,ruby,rspec#cucumber,True,False,1069.0,0.0,1069.0,11.0,,610.13,,True
51461066,loomio/loomio,True,2015-02-20 00:54:02,1935.0,ruby,merge_button,master,2.0,d4eab3d2dc5e62f58042482d989983d8c4f2fbd3#a292c86dfab119da32375889da6f0a7e1c479de3,build_found,525be0ffb26d0d20d4d5f3efe95ff657b3a99f00,51427909.0,2015-02-20 01:53:39,16,d4eab3d2dc5e62f58042482d989983d8c4f2fbd3,1,d4eab3d2dc5e62f58042482d989983d8c4f2fbd3,525be0ffb26d0d20d4d5f3efe95ff657b3a99f00,63c9622a3bd2f2226ae60e0d3f9ef6478b1b644b,0.0,0,0.0,0,0,0,0,2,0,0,0,0,2,43,18191,347.91930075312007,26.276730251223103,50.1346819855973,True,3.0,2015-02-20 01:54:31,2015-02-20 01:54:49,errored,7.0,[51461067],4949,51461067,ruby,unknown,3.0,ruby,,False,,,,,,,,,False
51461303,loomio/loomio,False,,,ruby,,master,4.0,dd8a99729eb83dca35cddb2aff4e5f1d13da1798#99e3b7743d8fec50ce5bb42b3cdc5554464776f2#6ba81e5c3e69d1f340899e7d740564112b075514#957955743d9ede1c49048759a5570843d4d8509a,merge_found,,,2015-01-31 23:06:01,16,957955743d9ede1c49048759a5570843d4d8509a,1,957955743d9ede1c49048759a5570843d4d8509a,,957955743d9ede1c49048759a5570843d4d8509a,,0,,181,15,0,0,12,0,0,12,0,0,1477,18193,348.210850327049,26.3288077832133,50.184136755895096,True,,2015-02-20 01:57:28,2015-02-20 01:58:17,passed,1041.0,[51461304],4951,51461304,ruby,ok,9.0,ruby,rspec#cucumber,True,False,1069.0,0.0,1069.0,11.0,,497.83,,True
51463828,loomio/loomio,True,2015-02-20 01:33:47,1936.0,ruby,commits_in_master,master,2.0,f805d7e88a8a8f98d295106f81dbe24bf6f33013#4c238b1f146ec9568746705bd39457e19f376e5c,build_found,957955743d9ede1c49048759a5570843d4d8509a,51461303.0,2015-02-11 08:17:56,16,f805d7e88a8a8f98d295106f81dbe24bf6f33013,1,f805d7e88a8a8f98d295106f81dbe24bf6f33013,957955743d9ede1c49048759a5570843d4d8509a,1ad751e27ee8ed28b37ec2b47a9e709a60e2521a,0.0,0,0.0,0,0,0,0,2,0,0,0,2,0,8,18193,348.210850327049,26.3288077832133,50.184136755895096,False,14.0,2015-02-22 20:10:26,2015-02-20 02:34:54,passed,1273.0,[51463829],4952,51463829,ruby,ok,11.0,ruby,rspec#cucumber,True,False,1069.0,0.0,1069.0,11.0,,523.98,,True
51587229,loomio/loomio,True,2015-02-20 22:46:10,1938.0,ruby,commits_in_master,master,2.0,1498a02cbcb577337d5f8c46330a34152d05e458#d659d7bc826e6555564bfac8ca055a05fc090ad1,build_found,957955743d9ede1c49048759a5570843d4d8509a,51461303.0,2015-02-20 23:41:25,16,1498a02cbcb577337d5f8c46330a34152d05e458,1,1498a02cbcb577337d5f8c46330a34152d05e458,957955743d9ede1c49048759a5570843d4d8509a,1af1a632ecbdfc368b5f3aded4d7991580a1e03f,1.0,0,0.0,0,0,0,0,15,0,0,0,15,0,4,18193,348.210850327049,26.3288077832133,50.184136755895096,True,62.0,2015-02-22 20:32:21,2015-02-20 23:47:14,passed,1015.0,[51587230],4954,51587230,ruby,ok,7.0,ruby,rspec#cucumber,True,False,1069.0,0.0,1069.0,11.0,,461.24,,True
51741517,loomio/loomio,False,,,ruby,,master,2.0,c29bbb4b268cbea93301e4ffe6e2b6b4de57fe30#34887a2708322edb9632cd94b274abf5f16ed86a,merge_found,,,2015-02-22 18:10:55,16,34887a2708322edb9632cd94b274abf5f16ed86a,1,34887a2708322edb9632cd94b274abf5f16ed86a,,34887a2708322edb9632cd94b274abf5f16ed86a,,0,,306,15,0,0,21,0,0,16,13,2,1623,18186,348.344880677444,26.338942043329997,50.2034532057627,True,,2015-02-22 18:11:39,2015-02-22 18:13:29,passed,1126.0,[51741518],4958,51741518,ruby,ok,12.0,ruby,rspec#cucumber,True,False,1069.0,0.0,1069.0,11.0,,558.3,,True
51751406,loomio/loomio,False,,,ruby,,master,2.0,f805d7e88a8a8f98d295106f81dbe24bf6f33013#4c238b1f146ec9568746705bd39457e19f376e5c,merge_found,,,2015-02-11 08:17:56,16,4c238b1f146ec9568746705bd39457e19f376e5c,1,4c238b1f146ec9568746705bd39457e19f376e5c,,4c238b1f146ec9568746705bd39457e19f376e5c,,0,,0,0,0,0,2,0,0,0,2,0,9,18186,348.344880677444,26.338942043329997,50.2034532057627,True,,2015-02-22 20:10:26,2015-02-22 20:11:16,failed,730.0,[51751407],4959,51751407,ruby,broken,9.0,ruby,rspec,True,True,846.0,1.0,847.0,11.0,,21.2,,False
51753390,loomio/loomio,False,,,ruby,,master,2.0,1498a02cbcb577337d5f8c46330a34152d05e458#d659d7bc826e6555564bfac8ca055a05fc090ad1,merge_found,,,2015-02-20 23:41:25,16,d659d7bc826e6555564bfac8ca055a05fc090ad1,1,d659d7bc826e6555564bfac8ca055a05fc090ad1,,d659d7bc826e6555564bfac8ca055a05fc090ad1,,0,,0,0,0,0,15,0,0,0,15,0,5,18186,348.344880677444,26.338942043329997,50.2034532057627,True,,2015-02-22 20:32:21,2015-02-22 20:33:10,passed,1145.0,[51753391],4960,51753391,ruby,ok,9.0,ruby,rspec#cucumber,True,False,1069.0,0.0,1069.0,11.0,,567.33,,True
51761667,loomio/loomio,False,,,ruby,,master,2.0,3bb7fe4e8d14f6f4a02fe68e3a0a0852790991e1#67970fc4f1cbaf989a68d8994b930885fc519fbf,merge_found,,,2015-02-22 21:59:07,16,67970fc4f1cbaf989a68d8994b930885fc519fbf,1,67970fc4f1cbaf989a68d8994b930885fc519fbf,,67970fc4f1cbaf989a68d8994b930885fc519fbf,,0,,0,0,0,0,2,0,0,0,0,2,67,18186,348.344880677444,26.338942043329997,50.2034532057627,True,,2015-02-22 21:59:55,2015-02-22 22:01:28,passed,1198.0,[51761668],4962,51761668,ruby,ok,14.0,ruby,rspec#cucumber,True,False,1069.0,0.0,1069.0,11.0,,540.6,,True
51764458,loomio/loomio,True,2015-02-22 21:31:46,1941.0,ruby,commits_in_master,master,3.0,186da992cd2f649a2e23032e91a3d6e84dfd41b3#1d7a6c6ed6c58ebc662d2c4c96fc0a5260775009#795715ffa81c6b57dac48c566760746509926c0c,build_found,d659d7bc826e6555564bfac8ca055a05fc090ad1,51753390.0,2015-02-22 20:46:27,16,1d7a6c6ed6c58ebc662d2c4c96fc0a5260775009#186da992cd2f649a2e23032e91a3d6e84dfd41b3,2,1d7a6c6ed6c58ebc662d2c4c96fc0a5260775009,67970fc4f1cbaf989a68d8994b930885fc519fbf,30f1e56ec6cb83d78c9e7e42c76f8b092d8764ea,3.0,0,0.0,514,370,0,10,16,0,0,26,0,0,788,18174,331.957741828986,26.2462859029383,47.155276769010705,True,3.0,2015-02-22 22:47:30,2015-02-22 22:32:50,failed,1352.0,[51764459],4963,51764459,ruby,broken,9.0,ruby,rspec#cucumber,True,True,1015.0,2.0,1017.0,11.0,features/notifications/membership_requested.feature#features/notifications/membership_requested.feature,597.81,,False
51765842,loomio/loomio,False,,,ruby,,master,3.0,186da992cd2f649a2e23032e91a3d6e84dfd41b3#1d7a6c6ed6c58ebc662d2c4c96fc0a5260775009#795715ffa81c6b57dac48c566760746509926c0c,merge_found,,,2015-02-22 20:46:27,16,795715ffa81c6b57dac48c566760746509926c0c,1,795715ffa81c6b57dac48c566760746509926c0c,,795715ffa81c6b57dac48c566760746509926c0c,,0,,514,370,0,10,16,0,0,26,0,0,790,18174,331.957741828986,26.2462859029383,47.155276769010705,True,,2015-02-22 22:47:30,2015-02-22 22:48:19,failed,949.0,[51765843],4964,51765843,ruby,broken,8.0,ruby,rspec#cucumber,True,True,1015.0,2.0,1017.0,11.0,features/notifications/membership_requested.feature#features/notifications/membership_requested.feature,514.47,,False
51767043,loomio/loomio,False,,,ruby,,master,1.0,a6c2566915abfa63c33ac49cda0ede74666e9213,build_found,795715ffa81c6b57dac48c566760746509926c0c,51765842.0,2015-02-22 22:57:32,16,a6c2566915abfa63c33ac49cda0ede74666e9213,1,a6c2566915abfa63c33ac49cda0ede74666e9213,,a6c2566915abfa63c33ac49cda0ede74666e9213,,0,,1,0,0,0,1,0,0,1,0,0,128,18175,331.939477303989,26.2448418156809,47.1526822558459,True,,2015-02-22 22:57:41,2015-02-22 22:59:04,failed,1205.0,[51767044],4965,51767044,ruby,broken,14.0,ruby,rspec#cucumber,True,True,1015.0,2.0,1017.0,11.0,features/notifications/membership_requested.feature#features/notifications/membership_requested.feature,533.53,,False
51768795,loomio/loomio,False,,,ruby,,master,1.0,9cc7bae180285385236f282a78dab0f523abf4df,build_found,a6c2566915abfa63c33ac49cda0ede74666e9213,51767043.0,2015-02-22 23:17:27,16,9cc7bae180285385236f282a78dab0f523abf4df,1,9cc7bae180285385236f282a78dab0f523abf4df,,9cc7bae180285385236f282a78dab0f523abf4df,,0,,2,0,0,0,1,0,0,1,0,0,12,18175,331.939477303989,26.2448418156809,47.1526822558459,True,,2015-02-22 23:17:36,2015-02-22 23:18:20,passed,1106.0,[51768796],4966,51768796,ruby,ok,9.0,ruby,rspec#cucumber,True,False,1017.0,0.0,1017.0,11.0,,528.62,,True
51790315,loomio/loomio,True,2015-02-23 04:44:45,1943.0,ruby,commits_in_master,master,2.0,18a16ed631bab15be1545d02736ef82d2f8b1954#2e90709a9c244c3cc24b7c0a4ba18bfedd1e2b06,build_found,9cc7bae180285385236f282a78dab0f523abf4df,51768795.0,2015-02-23 05:44:14,16,18a16ed631bab15be1545d02736ef82d2f8b1954,1,18a16ed631bab15be1545d02736ef82d2f8b1954,9cc7bae180285385236f282a78dab0f523abf4df,07802b004e118bdbe679d8638d674bae0ada4bd4,0.0,0,0.0,0,0,0,0,1,0,0,0,0,1,301,18175,331.939477303989,26.2448418156809,47.1526822558459,True,10.0,2015-02-23 05:44:54,2015-02-23 05:45:34,errored,7.0,[51790316],4968,51790316,ruby,unknown,3.0,ruby,,False,,,,,,,,,False
51790321,loomio/loomio,False,,,ruby,,master,2.0,18a16ed631bab15be1545d02736ef82d2f8b1954#2e90709a9c244c3cc24b7c0a4ba18bfedd1e2b06,merge_found,,,2015-02-23 05:44:14,16,2e90709a9c244c3cc24b7c0a4ba18bfedd1e2b06,1,2e90709a9c244c3cc24b7c0a4ba18bfedd1e2b06,,2e90709a9c244c3cc24b7c0a4ba18bfedd1e2b06,,0,,0,0,0,0,1,0,0,0,0,1,302,18175,331.939477303989,26.2448418156809,47.1526822558459,True,,2015-02-23 05:44:54,2015-02-23 05:45:31,passed,1080.0,[51790322],4969,51790322,ruby,ok,9.0,ruby,rspec#cucumber,True,False,1017.0,0.0,1017.0,11.0,,496.71,,True
51790357,loomio/loomio,True,2015-02-23 04:40:10,1942.0,ruby,commits_in_master,master,3.0,18a16ed631bab15be1545d02736ef82d2f8b1954#2e90709a9c244c3cc24b7c0a4ba18bfedd1e2b06#1e6317ae48ee66e481946d675b76b3486a5abd76,build_found,2e90709a9c244c3cc24b7c0a4ba18bfedd1e2b06,51790321.0,2015-02-23 05:39:41,16,1e6317ae48ee66e481946d675b76b3486a5abd76,1,1e6317ae48ee66e481946d675b76b3486a5abd76,2e90709a9c244c3cc24b7c0a4ba18bfedd1e2b06,a22cd2f87d473b2dc716069723fdfbd5dc755f46,0.0,0,0.0,2,0,0,0,10,0,0,1,9,0,327,18175,331.939477303989,26.2448418156809,47.1526822558459,True,4.0,2015-02-23 05:45:53,2015-02-23 05:46:25,passed,833.0,[51790358],4970,51790358,ruby,ok,7.0,ruby,rspec#cucumber,True,False,1017.0,0.0,1017.0,11.0,,477.29,,True
